# Austria COVID-19 Confinement Data (March 2020 - July 2021)
# Month: months since pandemic start (0 = March 2020)
# Confinement factors: 0.0 = closed, 1.0 = fully open
# Based on actual Austrian lockdown measures
#
# SECTOR CODES (must match DEPLOYERS code exactly):
#   I        = Accommodation/restaurants
#   R90T92   = Arts/museums
#   R93      = Sports/recreation  
#   G47      = Retail
#   G45      = Motor vehicles trade
#   G46      = Wholesale
#   H51      = Air transport
#   H49      = Land transport
#   F        = Construction
#   C29      = Motor vehicle manufacturing
#   C10T12   = Food processing
#   C13T15   = Textiles
#   K64      = Financial services
#   Q        = Healthcare
#   D        = Utilities
#   J62T63   = ICT services
#   M69T70   = Legal/accounting
#   M71      = Architecture/engineering
#   N79      = Travel agencies
#   S96      = Personal services
#
Month,Phase,I,R90T92,R93,G47,G45,G46,H51,H49,F,C29,C10T12,K64,Q,D,J62T63,M69T70,M71,N79,S96,KurzarbeitRate,ExportFactor,ImportFactor
0,FirstLockdown,0.05,0.02,0.02,0.40,0.30,0.70,0.05,0.50,0.30,0.35,1.00,0.90,1.00,1.00,0.95,0.75,0.70,0.05,0.10,0.70,0.40,0.50
1,FirstReopen,0.30,0.15,0.15,0.80,0.60,0.85,0.10,0.65,0.60,0.55,1.00,0.95,1.00,1.00,0.97,0.82,0.78,0.08,0.25,0.50,0.60,0.70
2,LateReopen,0.50,0.35,0.35,0.90,0.80,0.90,0.25,0.75,0.85,0.70,1.00,0.97,1.00,1.00,0.98,0.88,0.85,0.15,0.45,0.35,0.75,0.80
3,EarlySummer,0.60,0.40,0.40,0.95,0.85,0.92,0.30,0.80,0.90,0.80,1.00,0.98,1.00,1.00,0.99,0.90,0.88,0.25,0.55,0.25,0.82,0.83
4,Summer,0.65,0.45,0.50,0.95,0.90,0.94,0.35,0.85,0.95,0.85,1.00,0.99,1.00,1.00,1.00,0.92,0.90,0.30,0.60,0.18,0.85,0.85
5,Summer,0.68,0.50,0.55,0.96,0.92,0.95,0.38,0.87,0.96,0.87,1.00,1.00,1.00,1.00,1.00,0.93,0.91,0.35,0.65,0.15,0.87,0.87
6,LateSummer,0.65,0.48,0.52,0.96,0.90,0.94,0.35,0.85,0.95,0.85,1.00,1.00,1.00,1.00,1.00,0.92,0.90,0.32,0.62,0.16,0.86,0.86
7,Autumn,0.58,0.40,0.42,0.94,0.88,0.92,0.30,0.82,0.92,0.82,1.00,0.99,1.00,1.00,1.00,0.90,0.88,0.28,0.55,0.20,0.84,0.84
8,SecondLockdown,0.10,0.05,0.05,0.50,0.40,0.75,0.08,0.55,0.70,0.60,1.00,0.92,1.00,1.00,0.97,0.78,0.72,0.05,0.12,0.45,0.72,0.75
9,Christmas,0.08,0.03,0.03,0.45,0.35,0.72,0.06,0.52,0.65,0.55,1.00,0.90,1.00,1.00,0.96,0.75,0.68,0.04,0.10,0.48,0.68,0.72
10,ThirdLockdown,0.05,0.02,0.02,0.35,0.30,0.68,0.05,0.50,0.60,0.50,1.00,0.88,1.00,1.00,0.95,0.72,0.65,0.03,0.08,0.52,0.65,0.70
11,ThirdLockdown,0.08,0.05,0.05,0.42,0.38,0.72,0.08,0.55,0.68,0.58,1.00,0.90,1.00,1.00,0.96,0.76,0.70,0.05,0.12,0.48,0.70,0.73
12,EarlyRecovery21,0.25,0.15,0.18,0.70,0.62,0.82,0.18,0.70,0.80,0.72,1.00,0.95,1.00,1.00,0.98,0.85,0.80,0.15,0.35,0.35,0.78,0.80
13,SpringRecovery,0.42,0.28,0.32,0.82,0.78,0.88,0.32,0.80,0.88,0.82,1.00,0.97,1.00,1.00,0.99,0.88,0.85,0.28,0.52,0.25,0.85,0.85
14,LateSpring,0.58,0.42,0.48,0.90,0.86,0.92,0.45,0.86,0.94,0.88,1.00,0.99,1.00,1.00,1.00,0.92,0.90,0.42,0.68,0.18,0.90,0.90
15,EarlySummer21,0.72,0.58,0.65,0.95,0.92,0.95,0.58,0.92,0.97,0.92,1.00,1.00,1.00,1.00,1.00,0.95,0.93,0.58,0.78,0.12,0.93,0.93
16,Summer21,0.82,0.72,0.78,0.97,0.95,0.97,0.70,0.95,0.98,0.95,1.00,1.00,1.00,1.00,1.00,0.97,0.95,0.70,0.85,0.08,0.95,0.95
17,LateSummer21,0.88,0.80,0.85,0.98,0.97,0.98,0.78,0.96,0.99,0.97,1.00,1.00,1.00,1.00,1.00,0.98,0.97,0.78,0.90,0.05,0.97,0.97
18,NearNormal,0.92,0.88,0.90,0.99,0.98,0.99,0.85,0.98,1.00,0.98,1.00,1.00,1.00,1.00,1.00,0.99,0.98,0.85,0.94,0.03,0.98,0.98
